MXP,LIMC,22MAR22,19:25,(UTC),22MAR22,20:25,(LT),CPH,EKCH,22MAR22,21:21,(UTC),22MAR22,22:21,(LT),EI-SIH,A20N,01:56
CPH,EKCH,23MAR22,17:27,(UTC),23MAR22,18:27,(LT),LHR,EGLL,23MAR22,19:32,(UTC),23MAR22,19:32,(LT),EI-SII,A20N,02:05
LHR,EGLL,23MAR22,20:21,(UTC),23MAR22,20:21,(LT),CPH,EKCH,23MAR22,22:06,(UTC),23MAR22,23:06,(LT),EI-SII,A20N,01:45
CPH,EKCH,27MAR22,05:48,(UTC),27MAR22,07:48,(LT),LHR,EGLL,27MAR22,08:04,(UTC),27MAR22,09:04,(LT),EI-SIL,A20N,02:16
LHR,EGLL,27MAR22,08:53,(UTC),27MAR22,09:53,(LT),CPH,EKCH,27MAR22,10:44,(UTC),27MAR22,12:44,(LT),EI-SIL,A20N,01:51
CPH,EKCH,28MAR22,07:03,(UTC),28MAR22,09:03,(LT),ARN,ESSA,28MAR22,08:14,(UTC),28MAR22,10:14,(LT),EI-SIJ,A20N,01:11
ARN,ESSA,29MAR22,13:29,(UTC),29MAR22,15:29,(LT),LHR,EGLL,29MAR22,16:03,(UTC),29MAR22,17:03,(LT),EI-SIB,A20N,02:34
LHR,EGLL,29MAR22,17:02,(UTC),29MAR22,18:02,(LT),ARN,ESSA,29MAR22,19:21,(UTC),29MAR22,21:21,(LT),EI-SIB,A20N,02:19
ARN,ESSA,30MAR22,14:17,(UTC),30MAR22,16:17,(LT),LHR,EGLL,30MAR22,16:59,(UTC),30MAR22,17:59,(LT),EI-SIH,A20N,02:42
LHR,EGLL,30MAR22,17:57,(UTC),30MAR22,18:57,(LT),ARN,ESSA,30MAR22,20:17,(UTC),30MAR22,22:17,(LT),EI-SIH,A20N,02:20
CPH,EKCH,31MAR22,16:28,(UTC),31MAR22,18:28,(LT),LHR,EGLL,31MAR22,19:01,(UTC),31MAR22,20:01,(LT),EI-SIL,A20N,02:33
LHR,EGLL,31MAR22,19:40,(UTC),31MAR22,20:40,(LT),CPH,EKCH,31MAR22,21:23,(UTC),31MAR22,23:23,(LT),EI-SIL,A20N,01:43
CPH,EKCH,04APR22,06:39,(UTC),04APR22,08:39,(LT),ATH,LGAV,04APR22,09:42,(UTC),04APR22,12:42,(LT),EI-SIG,A20N,03:03
ATH,LGAV,04APR22,10:48,(UTC),04APR22,13:48,(LT),CPH,EKCH,04APR22,14:21,(UTC),04APR22,16:21,(LT),EI-SIG,A20N,03:33
CPH,EKCH,08APR22,06:40,(UTC),08APR22,08:40,(LT),ATH,LGAV,08APR22,09:44,(UTC),08APR22,12:44,(LT),EI-SIH,A20N,03:04
ATH,LGAV,08APR22,10:40,(UTC),08APR22,13:40,(LT),CPH,EKCH,08APR22,14:03,(UTC),08APR22,16:03,(LT),EI-SIH,A20N,03:23
CPH,EKCH,12APR22,07:58,(UTC),12APR22,09:58,(LT),FCO,LIRF,12APR22,10:30,(UTC),12APR22,12:30,(LT),OY-KAT,A320,02:32
FCO,LIRF,12APR22,11:21,(UTC),12APR22,13:21,(LT),CPH,EKCH,12APR22,13:52,(UTC),12APR22,15:52,(LT),OY-KAT,A320,02:31
ARN,ESSA,13APR22,06:40,(UTC),13APR22,08:40,(LT),PMI,LEPA,13APR22,10:26,(UTC),13APR22,12:26,(LT),OY-KAU,A320,03:46
PMI,LEPA,13APR22,11:24,(UTC),13APR22,13:24,(LT),ARN,ESSA,13APR22,15:03,(UTC),13APR22,17:03,(LT),OY-KAU,A320,03:39
ARN,ESSA,14APR22,04:11,(UTC),14APR22,06:11,(LT),PMI,LEPA,14APR22,07:55,(UTC),14APR22,09:55,(LT),EI-SII,A20N,03:44
PMI,LEPA,14APR22,08:54,(UTC),14APR22,10:54,(LT),ARN,ESSA,14APR22,12:26,(UTC),14APR22,14:26,(LT),EI-SII,A20N,03:32
ARN,ESSA,15APR22,04:44,(UTC),15APR22,06:44,(LT),PMI,LEPA,15APR22,08:20,(UTC),15APR22,10:20,(LT),EI-SIL,A20N,03:36
PMI,LEPA,15APR22,09:19,(UTC),15APR22,11:19,(LT),ARN,ESSA,15APR22,13:02,(UTC),15APR22,15:02,(LT),EI-SIL,A20N,03:43
ARN,ESSA,16APR22,07:34,(UTC),16APR22,09:34,(LT),LIN,LIML,16APR22,10:05,(UTC),16APR22,12:05,(LT),OY-KAU,A320,02:31
LIN,LIML,16APR22,10:53,(UTC),16APR22,12:53,(LT),ARN,ESSA,16APR22,13:40,(UTC),16APR22,15:40,(LT),OY-KAU,A320,02:47
CPH,EKCH,20APR22,08:05,(UTC),20APR22,10:05,(LT),FCO,LIRF,20APR22,10:31,(UTC),20APR22,12:31,(LT),EI-SIH,A20N,02:26
FCO,LIRF,20APR22,11:28,(UTC),20APR22,13:28,(LT),CPH,EKCH,20APR22,13:56,(UTC),20APR22,15:56,(LT),EI-SIH,A20N,02:28
ARN,ESSA,21APR22,07:26,(UTC),21APR22,09:26,(LT),LIN,LIML,21APR22,09:54,(UTC),21APR22,11:54,(LT),EI-SIL,A20N,02:28
LIN,LIML,21APR22,11:00,(UTC),21APR22,13:00,(LT),ARN,ESSA,21APR22,13:33,(UTC),21APR22,15:33,(LT),EI-SIL,A20N,02:33
ARN,ESSA,22APR22,04:08,(UTC),22APR22,06:08,(LT),AGP,LEMG,22APR22,08:29,(UTC),22APR22,10:29,(LT),EI-SIL,A20N,04:21
AGP,LEMG,22APR22,09:40,(UTC),22APR22,11:40,(LT),ARN,ESSA,22APR22,13:50,(UTC),22APR22,15:50,(LT),EI-SIL,A20N,04:10
ARN,ESSA,23APR22,04:08,(UTC),23APR22,06:08,(LT),ALC,LEAL,23APR22,08:18,(UTC),23APR22,10:18,(LT),EI-SIF,A20N,04:10
ALC,LEAL,23APR22,09:08,(UTC),23APR22,11:08,(LT),ARN,ESSA,23APR22,12:47,(UTC),23APR22,14:47,(LT),EI-SIF,A20N,03:39
ARN,ESSA,24APR22,04:37,(UTC),24APR22,06:37,(LT),FCO,LIRF,24APR22,07:44,(UTC),24APR22,09:44,(LT),EI-SIG,A20N,03:07
FCO,LIRF,24APR22,08:46,(UTC),24APR22,10:46,(LT),ARN,ESSA,24APR22,11:42,(UTC),24APR22,13:42,(LT),EI-SIG,A20N,02:56
CPH,EKCH,28APR22,08:01,(UTC),28APR22,10:01,(LT),FCO,LIRF,28APR22,10:25,(UTC),28APR22,12:25,(LT),EI-SIF,A20N,02:24
FCO,LIRF,28APR22,11:25,(UTC),28APR22,13:25,(LT),CPH,EKCH,28APR22,13:54,(UTC),28APR22,15:54,(LT),EI-SIF,A20N,02:29
CPH,EKCH,29APR22,05:26,(UTC),29APR22,07:26,(LT),OSL,ENGM,29APR22,06:36,(UTC),29APR22,08:36,(LT),EI-SID,A20N,01:10
OSL,ENGM,29APR22,07:15,(UTC),29APR22,09:15,(LT),CPH,EKCH,29APR22,08:19,(UTC),29APR22,10:19,(LT),EI-SID,A20N,01:04
CPH,EKCH,29APR22,09:03,(UTC),29APR22,11:03,(LT),FCO,LIRF,29APR22,11:25,(UTC),29APR22,13:25,(LT),EI-SID,A20N,02:22
FCO,LIRF,29APR22,15:45,(UTC),29APR22,17:45,(LT),CPH,EKCH,29APR22,18:20,(UTC),29APR22,20:20,(LT),EI-SID,A20N,02:35
GDN,EPGD,02MAY22,04:11,(UTC),02MAY22,06:11,(LT),CPH,EKCH,02MAY22,05:21,(UTC),02MAY22,07:21,(LT),EI-SID,A20N,01:10
CPH,EKCH,02MAY22,06:31,(UTC),02MAY22,08:31,(LT),MXP,LIMC,02MAY22,08:21,(UTC),02MAY22,10:21,(LT),OY-KAU,A320,01:50
MXP,LIMC,02MAY22,09:31,(UTC),02MAY22,11:31,(LT),CPH,EKCH,02MAY22,11:37,(UTC),02MAY22,13:37,(LT),OY-KAU,A320,02:06
CPH,EKCH,03MAY22,06:33,(UTC),03MAY22,08:33,(LT),CDG,LFPG,03MAY22,08:30,(UTC),03MAY22,10:30,(LT),OY-KAU,A320,01:57
CDG,LFPG,03MAY22,09:28,(UTC),03MAY22,11:28,(LT),CPH,EKCH,03MAY22,11:21,(UTC),03MAY22,13:21,(LT),OY-KAU,A320,01:53
CPH,EKCH,03MAY22,12:08,(UTC),03MAY22,14:08,(LT),BER,EDDB,03MAY22,13:05,(UTC),03MAY22,15:05,(LT),OY-KAU,A320,00:57
